,DATE,AAPL,ABMD,ABT,ADBE,ADM,ADSK,AEP,AFL,AIG,AJG,ALK,AMAT,AMGN,AON,APA,APD,ATO,AVY,AXP,BA,BAC,BAX,BBY,BDX,BEN,BK,BKR,BLL,BMY,C,CAG,CAT,CERN,CI,CINF,CL,CLX,CMA,CMCSA,CMI,CMS,CNP,COO,COP,CPB,CTAS,CTL,CVS,CVX,D,DD,DE,DHR,DIS,DOV,DRE,DTE,DUK,ECL,ED,EFX,EIX,EOG,ES,ETN,ETR,EXPD,F,FAST,FDX,FISV,FITB,FMC,FRT,GD,GE,GIS,GL,GLW,GPC,GPS,GWW,HAL,HBAN,HD,HES,HOG,HON,HP,HPQ,HRB,HST,HSY,HUM,IBM,IEX,IFF,INTC,IP,IPG,IR,ITW,J,JBHT,JCI,JKHY,JNJ,JPM,K,KLAC,KMB,KO,KR,KSU,L,LB,LEG,LEN,LHX,LLY,LNC,LOW,LRCX,LUV,MAS,MCD,MDT,MGM,MMC,MMM,MNST,MO,MRK,MSFT,MSI,MXIM,NEE,NEM,NI,NLOK,NOC,NSC,NTRS,NUE,OKE,OXY,PAYX,PBCT,PCAR,PEAK,PEG,PFE,PG,PGR,PH,PHM,PKI,PNC,PNW,PPG,PPL,PVH,RJF,ROL,ROST,RTN,SCHW,SHW,SIVB,SLB,SNA,SO,SPGI,SWK,SWKS,SYY,T,TGT,TIF,TJX,TMO,TROW,TRV,TXT,UNM,UNP,USB,UTX,VAR,VFC,VMC,VNO,VZ,WEC,WFC,WHR,WMB,WMT,WY,XOM,XRAY,XRX,ZION
0,01/02/1990,1.33,5.875,3.874,1.282,8.4918,5.0313,33.125,1.175,148.9705,6.1875,5.3438,0.457,1.073,12.556,7.5216,11.4407,11.8333,16.3125,8.9136,20.5,11.6563,6.19,0.2315,7.828,1.6111,5.4159,25.875,2.1172,13.5628,22.682,7.4573,7.3594,0.2031,6.6944,7.2672,3.9922,10.75,10.75,1.9306,6.438,37.875,14.3198,5.0625,9.8149,13.2195,4.944,10.5556,9.7853,17.3125,16.2083,34.8587,10.4583,0.7342,9.5176,6.089,10.2373,25.625,24.5072,3.5938,29.25,4.167,20.125,3.0469,22.5,6.1824,23.625,0.8203,14.4343,0.2402,12.0313,0.4719,4.8066,4.182,22,5.672,5.367,7.501,7.3216,6.195,18.8889,1.9491,16.438,10.2449,5.995,1.864,16.1667,1.2305,8.4193,6.315,2.1812,4.6094,7.5673,9.0313,10.42,24.5313,3.358,22.417,1.125,28.2816,5.4792,6.7514,5.875,1.7734,3.4167,4.6152,0.1007,7.4844,10.0417,17.1875,2.25,17.6388,4.875,1.9219,0.2377,10.3958,8.4007,3.7344,1.1526,7.0925,17.1875,15.25,0.9141,1.25,1.0645,10.9861,8.719,2.0469,3.9063,12.9792,19.366,0.404,3.2983,12.4025,0.6163,18.7099,0.5234,18.25,38.0578,3.7822,1.0313,8.165,13.9167,5.1042,3.8281,3.5018,14.3887,0.7609,1.1111,3.693,7.2545,14.875,2.9583,8.8125,1.0694,7.8889,1.5,8.6563,21.125,11.5,10.094,9.9753,7.9375,0.9218,1.0681,0.4414,17.4375,0.31,8.656,2.239,11.0187,22,8.8691,7.25,19.938,1.1667,4.0938,16.1875,5.4063,5.9063,0.4844,7.827,1.875,15,6.25,11.9375,6.7179,2.4103,6.953,1.1053,4.015,14.917,5.2381,25.5458,10.6667,2.8281,32.25,4.9662,5.9219,11.6129,12.5,1.0417,25.4128,3.5
1,01/03/1990,1.339,5.813,3.888,1.345,8.5382,5.1563,33,1.15,148.794,6.1563,5.2813,0.4453,1.099,12.519,7.6299,11.4407,11.5833,16.3125,9.0094,21,11.75,6.341,0.2593,7.75,1.6574,5.4987,25.5,2.0547,13.8305,22.9715,7.4897,7.4375,0.1992,6.6528,7.3358,3.9688,10.75,10.6111,1.9444,6.375,38.5,14.3198,5.0625,9.5766,12.9802,4.944,10.5926,9.9745,17,16.0417,35.5108,10.6458,0.7402,9.5176,5.9844,10.2373,25.375,24.5072,3.6563,28.75,4.2,19.9375,3.0313,22.375,6.1688,23,0.8516,14.5539,0.2402,12.125,0.4829,4.7846,4.2548,21.75,5.766,5.3269,7.5138,7.2417,6.265,18.6667,1.9676,16.063,10.1555,6.0322,1.87,15.9583,1.25,8.449,6.0633,2.148,4.5625,7.5487,9,10.391,24.7188,3.358,22.417,1.0938,28.1584,5.5417,6.9176,5.7344,1.7422,3.5,4.6829,0.1007,7.5156,10.3333,16.9063,2.125,17.5799,4.8047,1.9063,0.2377,10.5208,8.6035,3.6875,1.1526,6.8899,17.2188,15.3125,0.9102,1.2222,1.0425,11.096,8.656,2.0547,3.9375,12.9167,19.577,0.404,3.3465,12.5997,0.6198,19.0917,0.5156,18,37.8575,3.7331,1.0625,8.165,13.4583,5.2292,3.8906,3.5429,14.3287,0.7804,1.1287,3.7144,7.1976,14.5,2.9688,8.7969,1.0764,7.963,1.5156,8.5313,21.625,11.875,10.375,10.0043,7.9375,0.9438,1.0681,0.4492,17.5,0.3237,8.688,2.211,11.0467,21.833,8.9071,7.219,19.125,1.125,3.9844,15.9063,5.4583,6.3125,0.4961,8.402,1.9063,15.094,6.0625,12.125,6.6232,2.4377,6.875,1.1179,3.9709,14.917,5.1743,25.4898,10.4583,2.7031,32.375,5.0755,5.8906,11.3571,12.375,1.0417,25.5775,3.5625
2,01/04/1990,1.344,5.625,3.881,1.408,8.4918,5.0313,32.5,1.125,146.6759,6.1563,5.25,0.4395,1.12,12.333,7.197,11.2963,11.3333,16.5,8.9136,20.833,11.5,6.19,0.2546,7.688,1.6944,5.4656,24.875,2.0781,13.7413,22.682,7.2627,7.4688,0.207,6.6528,7.3815,3.9297,10.719,10.6667,1.9028,6.438,38,14.1167,5.25,9.4337,12.741,4.944,10.2963,10.0016,16.7813,15.7083,35.0365,10.6458,0.7461,9.5073,6.0053,10.7623,25,24.3434,3.7344,28.25,4.233,19.625,2.9688,22.25,6.0739,23,0.8516,14.5141,0.2461,12.0938,0.4938,4.7846,4.3568,21.75,5.734,5.3069,7.4497,7.2417,6.2125,18.6111,1.9815,16.094,9.947,5.8833,1.883,15.6667,1.2578,8.7168,5.9031,2.1258,4.5469,7.5487,8.9375,10.302,25,3.2593,22.542,1.1172,28.0352,5.5208,6.8844,5.625,1.7969,3.5,4.6604,0.1007,7.5313,10.375,16.875,2.1563,17.5504,4.7813,1.8906,0.2384,10.375,8.6325,3.7344,1.1526,6.8392,17.0938,14.9688,0.9141,1.1111,1.048,11.1509,8.469,2.1055,3.9375,12.7917,19.727,0.404,3.2019,12.4025,0.638,19.2063,0.5313,17.5625,37.9577,3.7331,1.0469,8.108,13.6667,5.2708,3.8828,3.4608,14.2088,0.7804,1.1111,3.65,7.226,14.25,3.0104,8.625,1.0694,8.1852,1.4844,8.5,22,11.75,10.281,9.9173,8.125,0.9511,1.0608,0.4453,17.75,0.321,8.625,2.239,10.739,21.75,8.5645,7.344,19.125,1.125,3.9063,15.3438,5.4792,6.2344,0.5039,8.466,1.9531,15.375,6.0938,12.3125,6.5916,2.3282,6.844,1.1179,3.9709,14.875,5.1454,24.5094,10.4167,2.6719,32.75,4.9194,5.8594,11.2548,12.25,1,25.6324,3.5625
3,01/05/1990,1.348,5.75,3.839,1.44,8.0741,5.0313,31.75,1.125,142.2633,6.1563,5.3438,0.4336,1.135,12.074,6.9805,11.4407,11.6667,16,8.8497,20.625,11.25,6.0994,0.25,7.672,1.7407,5.4987,24.75,2.0938,13.3546,22.875,7.1655,7.4219,0.207,6.6111,7.3815,3.7891,10.531,10.75,1.8611,6.391,37.5,14.0659,6,9.2908,12.3522,4.944,10.2593,9.9205,16.5313,15.4583,34.6216,10.4792,0.7342,9.5381,5.9844,10.4998,24.875,24.0705,3.8438,28,4.2,19.1875,2.9063,22,6.0603,22.625,0.8281,14.3546,0.2441,11.7813,0.4993,4.8066,4.4005,21.875,5.688,5.2468,7.3343,7.0658,6.195,18.6667,1.9722,16.094,9.9173,5.8088,1.858,15.5,1.2578,8.8358,5.9489,2.0982,4.5156,7.5487,8.875,10.272,24.9375,3.2346,22.333,1.1094,28.0968,5.5625,6.8678,5.5938,1.8359,3.4375,4.6829,0.1042,7.4531,10.4167,16.7813,2.0313,17.4326,4.7422,2.0156,0.2371,10.2917,8.4297,3.6563,1.1453,6.8899,16.9063,14.6875,0.918,1.1111,1.0425,11.2608,8.313,2.1484,4,12.5,19.396,0.404,3.2404,12.1462,0.6224,18.8244,0.5234,17.3125,39.0594,3.7086,1.125,8.165,13.4167,5.3958,3.8516,3.365,14.1489,0.7804,1.1287,3.5427,7.1691,13.9375,2.9896,8.4688,1.0729,8.0741,1.4219,8.5938,21.8125,11.875,10.156,9.8303,8,0.9511,1.0608,0.4492,17.5,0.321,8.625,2.466,10.6831,22,8.4123,7.266,18.875,1.1667,3.9063,14.8125,5.4792,6.2188,0.5,8.402,1.9375,15.313,6.2188,12.4688,6.5916,2.3008,6.844,1.0989,4.0003,14.917,5.1454,23.9492,10.25,2.5938,32,4.935,5.7969,11.2036,12.2188,1.0625,25.6873,3.5625
4,01/08/1990,1.357,5.75,3.839,1.456,8.2134,4.9844,31.625,1.1333,141.3807,6.1563,5.375,0.4258,1.133,11.852,7.4134,11.5563,11.75,16,8.7539,20.875,11.3125,6.1598,0.2361,7.719,1.7454,5.449,25,2.125,13.4141,23.068,7.1979,7.375,0.207,6.5694,7.3815,3.8047,10.531,10.6111,1.875,6.406,37.75,14.0659,6,9.3861,12.1428,4.944,10.3704,9.7042,16.6563,15.4167,34.6216,10.6458,0.7283,9.5998,6.0262,10.2373,24.75,23.9068,3.7969,27.5,4.134,19.3125,2.8594,21.875,6.101,22.5,0.8516,14.3147,0.2422,11.8125,0.4993,4.7517,4.4005,21.75,5.656,5.2869,7.3343,7.0179,6.2825,18.7222,1.9444,16.375,9.9768,5.7343,1.84,15.8333,1.2656,8.8358,6.0862,2.1424,4.5469,7.5487,8.8438,10.183,25.125,3.284,22.208,1.125,28.0352,5.5625,7.0174,5.5781,1.8438,3.4583,4.7732,0.0972,7.5781,10.4167,16.7188,2.125,17.6093,4.8438,1.9844,0.2417,10.0729,8.4297,3.7188,1.1453,6.8899,16.9063,14.7813,0.9297,1.1111,1.0535,11.3706,8.469,2.1484,4.0625,12.4375,19.908,0.404,3.1633,12.3039,0.6319,18.9008,0.5156,16.9375,38.158,3.684,1.1328,8.391,13.4167,5.3958,3.9297,3.4061,14.2088,0.7706,1.1111,3.5641,7.2829,14,2.9583,8.625,1.0764,8.0741,1.375,8.6875,21.75,12,10.313,9.7143,8.125,0.9511,1.0535,0.4414,17.4688,0.3292,8.625,2.551,10.7111,21.917,8.6026,7.188,19,1.1667,3.875,15.0625,5.5313,6.3594,0.5156,8.338,1.9531,15.375,6.0313,12.3438,6.6232,2.2186,6.875,1.1116,3.9268,15,5.157,24.1453,10.1667,2.6719,32.25,4.9974,5.875,11.2036,12.375,1.0208,25.5226,3.5625
5,01/09/1990,1.344,5.625,3.8251,1.424,8.2134,4.9688,31.375,1.1333,140.4982,6.0938,5.2813,0.418,1.109,11.926,7.1429,11.4407,12,15.8125,8.5941,20.583,11.3125,6.1296,0.2361,7.672,1.75,5.2834,24.875,2.125,13.2059,22.7785,7.133,7.3438,0.207,6.4861,7.3815,3.8516,10.25,10.7778,1.7917,6.328,36.375,14.0151,6.1875,9.2908,12.1129,4.944,10.4074,9.542,16.5625,15.2917,33.9694,10.5625,0.7105,9.5998,5.9635,10.2373,24.875,23.4701,3.875,27.25,4.233,18.9375,2.8125,21.75,6.0061,22.125,0.8281,14.0754,0.2402,11.7813,0.5048,4.6968,4.3714,21.875,5.531,5.1767,7.3086,6.922,6.16,18.1667,1.8889,16.063,9.8875,5.6599,1.79,15.625,1.2656,8.6573,5.9489,2.0815,4.5313,7.5487,8.625,10.094,24.875,3.2346,21.75,1.1563,27.419,5.625,6.9509,5.5313,1.8359,3.4583,4.7281,0.0972,7.3594,10.0833,16.625,2.125,17.2265,4.8047,1.9375,0.241,9.8542,8.3138,3.75,1.138,6.7886,16.7188,14.0313,0.9258,1.1667,1.0096,11.4256,8.406,2.1797,4.0313,12.6667,19.908,0.404,3.1054,12.2054,0.6302,19.0153,0.5156,16.8125,38.158,3.6594,1.1406,8.108,13.1667,5.375,3.7969,3.3924,14.1489,0.7804,1.0935,3.5427,7.1976,13.875,2.901,8.5938,1.0833,8.0741,1.3438,8.7188,21.5625,12.25,10.25,9.7723,8.25,0.9511,1.0608,0.4141,17.0625,0.3237,8.531,2.636,10.5433,21.75,8.5265,7.063,18.875,1.2083,3.8281,14.7188,5.4583,6.3438,0.5,8.402,1.9375,15.438,5.9375,12.1875,6.56,2.3008,6.797,1.1116,3.7503,15.083,5.1222,23.473,10.125,2.5938,32.25,4.9037,5.7188,10.999,12.2188,1.1042,25.1384,3.5625
6,01/10/1990,1.286,5.5,3.7761,1.392,8.0741,4.9688,31.625,1.0833,139.9687,6.0938,5.1875,0.4219,1.115,11.889,7.1429,11.4407,12.1667,15.75,8.4983,20.708,11.0938,6.0088,0.2315,7.563,1.7407,5.2172,25.25,2.1406,13.3546,22.5854,7.2627,7.3438,0.1992,6.3889,7.3586,3.8359,10.063,10.5556,1.7361,6.281,37,14.0659,6.375,9.1478,11.9933,4.944,10.0741,9.488,16.5625,15.2917,33.6137,10.5833,0.7046,9.2915,6.0681,10.2373,24.875,23.5793,3.8125,27.75,4.331,19,2.7031,21.625,5.9926,22.25,0.8281,14.1951,0.2344,11.625,0.5048,4.631,4.3568,21.75,5.344,5.1767,7.2573,6.6982,6.125,18.1667,1.9074,16.438,9.8279,5.6599,1.802,15.5,1.2578,8.568,5.9718,2.0815,4.5313,7.5487,8.5938,9.916,24.7813,3.2099,21.75,1.125,26.9877,5.6042,6.8844,5.5625,1.8594,3.4167,4.6829,0.1007,7.25,10.0417,16.4375,2.0625,16.9615,4.7734,1.9219,0.241,9.6458,8.1979,3.6719,1.1453,6.8392,16.7813,14.1875,0.9141,1.1944,0.9767,11.3157,8.25,2.1758,4,12.75,19.787,0.404,3.0572,12.0476,0.6128,18.7099,0.5313,17,40.3613,3.6349,1.1094,8.051,13.1667,5.2083,3.7891,3.3924,14.029,0.7804,1.1111,3.4997,7.1691,14.0625,2.9531,8.6719,1.0799,8.1111,1.3281,8.7188,21.625,12,10.156,9.7433,8.1875,0.9584,1.0608,0.4023,16.8125,0.321,8.5,2.636,10.6272,21.75,8.5645,7.047,19,1.2083,3.8125,14.3125,5.4583,6.2813,0.5078,8.21,1.9219,15.375,5.9063,12.25,6.4863,2.1912,6.766,1.0926,3.8091,14.833,5.1454,22.8568,10.125,2.625,32.375,4.7476,5.7188,11.1013,12.1875,1.0833,24.9189,3.5625
7,01/11/1990,1.232,5.688,3.8111,1.456,8.2134,4.875,31.875,1.1333,140.1452,6.0938,5.0625,0.4141,1.091,11.704,7.197,11.5563,12.3333,15.8125,8.6261,20.417,11,6.0088,0.2269,7.656,1.7685,5.2669,25.75,2.125,13.5331,22.7785,7.3276,7.3438,0.1973,6.2778,7.3472,3.8906,10.156,10.6389,1.7222,6.328,36.75,14.1167,6.375,9.2431,11.9334,4.972,9.8519,9.6502,16.5938,15.3333,33.6137,10.6667,0.7046,9.2915,6.0262,9.9748,24.875,23.6884,3.7656,27.75,4.528,19.1875,2.75,22,5.9383,22.375,0.8281,14.3546,0.2363,11.7813,0.4993,4.631,4.4297,21.25,5.281,5.1868,7.1804,6.6822,6.16,18.3333,1.9074,16.5,9.947,5.7343,1.815,15.875,1.2578,8.5085,6.0633,2.076,4.5313,7.5487,8.5938,9.916,24.9688,3.1111,22.042,1.125,26.8645,5.6875,6.8511,5.5625,1.875,3.4583,4.6829,0.1042,7.3281,9.9167,16.5,2.0625,16.9615,4.7734,1.9219,0.2469,9.6146,8.2848,3.6875,1.1672,6.9152,16.6875,14.25,0.8789,1.1944,0.9328,11.2608,8.188,2.1953,3.9375,12.7917,19.968,0.404,3.0765,12.1462,0.6007,18.8626,0.5547,17.0625,41.463,3.6594,1.1094,8.165,13.125,5.2292,3.7813,3.4334,13.969,0.7804,1.1111,3.5212,7.2545,14.125,2.9219,8.7969,1.0833,8.2222,1.3281,8.6875,21.4375,12.125,10.125,9.7723,8.125,0.9657,1.0608,0.4063,16.8125,0.3237,8.5,2.664,10.6831,21.75,8.5645,7.047,18.875,1.2083,3.8125,14.4375,5.4896,6.2656,0.5,8.338,1.9375,15.219,5.9375,12.4375,6.5179,2.1912,6.75,1.1116,3.8679,14.917,5.1454,22.9408,10.125,2.625,33.5,4.7476,5.7813,10.999,12.25,1.0625,24.9737,3.5625
8,01/12/1990,1.232,5.5,3.7411,1.424,7.9813,4.7813,31.25,1.1,136.6151,6.0625,4.9688,0.4102,1.073,11.63,7.0346,11.2385,12.1667,15.375,8.4344,19.958,10.6875,5.8277,0.2222,7.531,1.7222,5.1344,25,2.1094,13.1167,21.6202,7.1979,7.2188,0.1992,6.1806,7.2215,3.8359,10,10.2778,1.625,6.219,36.25,13.9644,6.375,8.9573,11.754,4.889,9.6296,9.515,16.0625,15.125,32.7838,10.5,0.6928,9.0037,5.817,9.9748,24.25,22.8151,3.5938,26.75,4.43,18.6875,2.7188,21.625,5.7485,22.125,0.8281,13.9558,0.2266,11.5938,0.4938,4.5652,4.3714,21,5.203,5.0466,7.0522,6.6182,5.985,17.7222,1.8519,16,9.8279,5.5854,1.753,15.5,1.2188,8.3598,5.8116,2.0262,4.2813,7.5487,8.4688,9.827,24.4375,3.0864,21.375,1.1016,26.0635,5.5833,6.8012,5.4375,1.8516,3.4167,4.5701,0.1007,7.1094,9.8333,16.375,2,16.7554,4.6016,1.8594,0.241,9.4479,7.9372,3.6094,1.1526,6.7886,16.25,14.0625,0.8438,1.1944,0.9218,10.9312,8.031,2.1367,3.875,12.6458,19.336,0.404,2.9897,11.8504,0.5981,18.3662,0.5469,16.8125,40.3613,3.5858,1.0469,7.995,12.6667,5.1458,3.7031,3.3377,13.8491,0.7706,1.0758,3.4783,7.1976,13.9375,2.8698,8.4688,1.0903,8.0741,1.2344,8.5938,20.875,11.5,9.969,9.6853,8,0.9657,1.0681,0.3789,16.6563,0.3155,8.438,2.664,10.4314,21.75,8.3742,6.922,18.938,1.1667,3.6875,13.9375,5.3333,5.9688,0.4766,8.178,1.8984,14.875,5.6875,12.2188,6.3705,2.1912,6.578,1.061,3.7062,14.875,5.1454,22.0725,10.0417,2.5781,31.5,4.5914,5.5781,10.7432,11.9375,1.0417,24.6444,3.4688
9,01/15/1990,1.223,5.375,3.6852,1.392,8.0277,4.7813,31.25,1.1,134.497,6.0625,5.0938,0.4141,1.078,11.704,6.9805,11.0363,12,15.125,8.4024,19.792,10.375,5.8277,0.2222,7.422,1.6944,5.1344,24.375,2.0938,12.9085,21.5237,7.0682,7.1875,0.1992,6.0556,7.2215,3.875,10,10.3333,1.5694,6.094,35.375,14.0659,6,9.1002,12.0232,4.889,9.2222,9.4609,16.125,15.1667,32.0724,10.3958,0.6928,9.0345,5.6914,9.9748,24,22.5968,3.3438,26.75,4.331,18.8125,2.7188,21.875,5.7485,22,0.8359,13.7963,0.2266,11.4688,0.4938,4.5542,4.284,21,5.172,5.0265,6.9368,6.5543,5.8625,17.6667,1.8148,15.906,9.7386,5.7343,1.741,15.3333,1.2188,8.33,5.8116,2.0096,4.1875,7.5487,8.4063,9.738,24.5,3.0864,21,1.1094,25.817,5.4375,6.6848,5.3281,1.8438,3.375,4.4234,0.1042,7.0781,9.8333,16.3125,2,16.5492,4.5234,1.8125,0.2417,9.2813,8.0241,3.5469,1.138,6.7126,16.125,14.1875,0.8203,1.1944,0.9383,10.9861,7.938,2.1289,3.8438,12.5417,19.246,0.404,2.9511,11.5547,0.5981,18.3662,0.5234,16.8125,41.2627,3.5858,1.0469,8.165,12.5417,5.0417,3.6094,3.2693,13.7292,0.7706,1.0758,3.3924,7.1691,13.6875,2.8646,8.5,1.0764,8.0741,1.2031,8.5938,20.625,11.375,10,9.5694,7.9375,0.9364,1.0535,0.3633,16.6563,0.3045,8.406,2.636,10.3755,21.75,8.2981,6.844,18.938,1.1667,3.6563,13.7813,5.25,5.75,0.4609,8.146,1.7969,14.75,5.7188,12.0938,6.4021,2.1912,6.531,1.0484,3.7356,15,5.1222,22.0445,10,2.5625,31.75,4.3884,5.4844,10.5386,12.0938,1.0729,24.4249,3.5938
10,01/16/1990,1.246,5.375,3.7272,1.456,8.2134,4.8125,31.375,1.0583,136.9681,6,5.3125,0.4258,1.109,11.815,7.1429,11.2096,11.9167,15.0625,8.2746,20,10.75,5.8277,0.2315,7.406,1.6944,5.0847,24.875,2.0781,13.0572,21.4272,7.0033,7.125,0.1895,6,7.1301,3.8203,9.969,10.2778,1.6389,6.188,35.875,14.1167,6.1875,9.1002,11.9035,4.889,9,9.5691,16.4688,15.2083,32.8431,10.4167,0.6869,9.199,5.6914,9.9748,24,22.8151,3.3594,27,4.266,18.875,2.7031,21.875,5.7892,22.25,0.8203,14.3546,0.2227,11.6875,0.4938,4.5761,4.3714,21.125,5.188,5.0566,7.0394,6.5863,5.9675,17.8889,1.8426,15.719,9.7088,5.7343,1.759,15.25,1.1992,8.5085,5.6743,2.0649,4.3281,7.5487,8.4375,9.648,25.0938,3.1111,21.083,1.1719,25.8786,5.3542,6.768,5.3125,1.9297,3.3958,4.4008,0.1007,7.0781,9.7917,16.8438,2.0625,16.6081,4.5625,1.7813,0.2423,9.2917,7.9952,3.5781,1.1161,6.5859,16.375,14.375,0.8281,1.25,0.9767,10.8763,8.031,2.1055,3.9063,12.8333,19.487,0.404,3.0283,11.5349,0.6163,18.6335,0.5234,17.0625,40.9623,3.5612,1.0625,8.221,12.7917,5.0625,3.5859,3.2693,14.0889,0.7706,1.1111,3.5427,7.1691,13.9375,2.8958,8.6094,1.0694,8.037,1.2656,8.625,20.875,12,10.125,9.5694,7.75,0.9364,1.0535,0.375,16.6875,0.31,8.438,2.608,10.4314,21.917,8.3742,7.016,18.563,1.125,3.625,14.0313,5.2292,5.6719,0.4609,8.083,1.7969,14.813,5.8438,12.3125,6.4968,2.2186,6.516,1.0547,3.765,14.917,5.1048,22.2686,10.0417,2.5938,31.625,4.4196,5.5781,10.5897,12.0625,1.0833,24.5346,3.5938
11,01/17/1990,1.188,5.438,3.6852,1.44,7.9813,4.7813,31.25,1.05,136.7916,5.9375,5.2813,0.4355,1.107,11.556,7.1429,11.0941,12,15,8.1149,20.125,10.8125,5.8277,0.2315,7.469,1.6875,5.0515,24.125,2.0703,13.1167,22.0063,6.9061,6.8594,0.1992,5.8472,7.1758,3.8047,10,10.2778,1.6389,6.141,35.875,14.0151,6.375,9.0049,11.754,4.889,8.963,9.542,16.375,15.0833,32.1909,10.3125,0.6869,9.0551,5.6496,9.9748,24.125,22.5968,3.3125,26.75,4.331,18.75,2.7188,22,5.7485,22.125,0.8047,14.1153,0.2266,11.5,0.4938,4.5761,4.3277,21.25,5.141,5.0466,6.9753,6.5543,5.88,17.4444,1.8241,15.625,9.5897,5.7343,1.802,15.4167,1.1875,8.33,5.743,2.0262,4.2813,7.5487,8.3438,9.5,24.7188,3.0864,21.375,1.1758,25.6938,5.2292,6.7181,5.2969,1.9922,3.3333,4.3331,0.1007,7.0156,9.7917,16.6563,2.0313,16.5787,4.5313,1.75,0.2423,9.1563,8.0241,3.5625,1.1088,6.6113,16.3125,14.375,0.8438,1.25,0.9492,10.6565,8.031,2.1133,3.9688,12.8125,19.517,0.404,2.9608,11.3575,0.6076,18.2899,0.5391,17.125,41.0624,3.4875,1.0547,7.995,12.5,5.1667,3.5547,3.2693,14.0889,0.7804,1.0935,3.5641,7.1691,13.875,2.8958,8.5625,1.0764,7.963,1.2188,8.6563,20.4375,11.875,10,9.4824,7.875,0.9291,1.0608,0.3984,16.875,0.3155,8.406,2.579,10.4594,22.167,8.4123,7.406,18.438,1.125,3.5938,13.6875,5.1979,5.625,0.4609,8.083,1.7813,14.563,5.8125,12.4063,6.3915,2.246,6.5,1.0484,3.6473,15.208,5.1222,21.9325,9.9167,2.6406,30.75,4.3103,5.5156,10.3339,11.8125,1.1042,24.4798,3.4688
12,01/18/1990,1.156,5.5,3.7621,1.503,7.9349,4.7813,30.875,1.0583,135.5561,5.9375,5.2813,0.4297,1.089,11.444,6.8723,10.9496,12,15,8.1149,20,10.6563,5.8881,0.2269,7.375,1.6806,4.9853,24.25,2.0703,13.2059,22.2959,6.9385,6.9219,0.1875,5.9306,7.2215,3.8047,10.063,10.2778,1.5833,6.125,36,14.0151,6.5625,9.0049,11.754,4.806,8.8148,9.5691,16.5,15.0417,32.1909,10.3333,0.6869,9.0756,5.7124,9.9748,23.875,22.5968,3.3594,26.75,4.2,18.8125,2.7031,21.75,5.7892,22.375,0.8125,14.1153,0.2246,11.6875,0.4993,4.5267,4.3277,21.25,5.172,5.1066,6.9881,6.6502,5.915,17.1667,1.8009,15.781,9.679,5.7343,1.864,15.4167,1.1875,8.5085,5.926,2.0096,4.2656,7.5487,8.375,9.619,24.875,3.037,21.25,1.1641,25.5705,5.1458,6.6516,5.375,2.0234,3.2083,4.3106,0.1007,7.0781,9.6667,16.6875,2,16.5198,4.5078,1.75,0.2443,9.2292,7.9662,3.5938,1.1015,6.5859,16.4063,14.6875,0.8594,1.25,0.9492,10.9312,8.031,2.0938,3.8438,12.8125,19.457,0.404,3.0283,11.4758,0.6597,18.0226,0.5313,17.1875,40.6618,3.5121,1.0469,8.165,12.6667,5.1354,3.4922,3.2556,14.029,0.7804,1.1111,3.5427,7.226,14,2.9427,8.6875,1.0694,8.037,1.2188,8.7188,20.125,11.625,10.156,9.3954,7.875,0.9291,1.0681,0.4219,17,0.3128,8.375,2.579,10.6272,22.583,8.4884,7.266,18.375,1.0833,3.5938,13.9375,5.1563,5.6094,0.4648,8.083,1.7344,14.563,5.9063,12.2188,6.4968,2.1912,6.453,1.0421,3.7062,15.167,5.099,21.9605,9.875,2.6406,30.875,4.2791,5.4375,10.4874,11.9688,1.1042,24.5346,3.375
